type_envoi,base_calcul,zone_type,zone_valeur,tranche_min,tranche_max,prix,unite,mini_perception,valid_from,valid_to,source_filename
messagerie,poids,departement,06,30,40,40.61,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,40,50,46.68,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,50,60,52.77,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,60,70,53.82,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,70,80,59.47,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,80,90,65.72,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,90,100,71.82,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,100,250,71.82,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,250,500,53.96,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,06,500,1000,43.16,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,0,10,18.41,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,10,20,22.15,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,20,30,26.25,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,30,40,30.95,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,40,50,35.58,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,50,60,40.09,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,60,70,44.71,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,70,80,48.94,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,80,90,53.9,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,90,100,58.7,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,100,250,58.7,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,250,500,47.29,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,07,500,1000,43.15,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,0,10,13.8,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,10,20,15.2,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,20,30,17.43,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,30,40,18.74,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,40,50,21.62,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,50,60,24.54,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,60,70,27.39,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,70,80,30.45,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,80,90,32.27,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,90,100,32.74,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,100,250,27.65,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,08,250,500,19.46,au_100kg,,,,SIFA 010126 - P U.xlsx
