reference_originale;ref_produit_norm;machine;laize_mm;conditionnement_norm
1164/0022;1164/0022;;;
1164/0024;1164/0024;;;
1164/0025;1164/0025;;;
1164/0028;1164/0028;;;
1164/0029;1164/0029;;;
1164/0030;1164/0030;;;
1164/0031;1164/0031;;;
1164/0032;1164/0032;;;
1164/0039;1164/0039;;;
1164/0041;1164/0041;;;
1164/0042;1164/0042;;;
1164/0043;1164/0043;;;
1164/0045;1164/0045;;;
1164/0046;1164/0046;;;
1164/0049;1164/0049;;;
1164/0050;1164/0050;;;
1164/0051;1164/0051;;;
1164/0052;1164/0052;;;
1164/0053;1164/0053;;;
1164/0054;1164/0054;;;
1164/0055;1164/0055;;;
1164/0057;1164/0057;;;
1164/0058;1164/0058;;;
1183/0001 - COHESIO1;1183/0001;Cohésio 1;;
1183/0001 - COHESIO2;1183/0001;Cohésio 2;;
1183/0001 - DSI;1183/0001;DSI;;
1183/0002 - COHESIO 1;1183/0002;Cohésio 1;;
1183/0002 - DSI;1183/0002;DSI;;
1183/0007 - L470;1183/0007;;470;
1183/0008;1183/0008;;;
1183/0008 - Laize 510 mm;1183/0008;;510;
1183/0009;1183/0009;;;
1183/0010;1183/0010;;;
1183/0010 - Laize 510 mm;1183/0010;;510;
1183/0011;1183/0011;;;
1183/0011 - Laize 510 mm;1183/0011;;510;
1183/0012;1183/0012;;;
1183/0013;1183/0013;;;
1183/0014;1183/0014;;;
1183/0015;1183/0015;;;
1183/0016;1183/0016;;;
1183/0017;1183/0017;;;
1183/0018;1183/0018;;;
1183/0019;1183/0019;;;
1183/0020;1183/0020;;;
1183/0021;1183/0021;;;
1183/0022;1183/0022;;;
1183/0023;1183/0023;;;
1183/0024;1183/0024;;;
1183/0025;1183/0025;;;
1183/0026;1183/0026;;;
1183/0027 - CO1;1183/0027;Cohésio 1;;
1183/0027 - DSI;1183/0027;DSI;;
1183/0029;1183/0029;;;
1183/0030;1183/0030;;;
1183/0031;1183/0031;;;
1183/0032 - Laize 510 mm;1183/0032;;510;
1183/0033 - Laize 510 mm;1183/0033;;510;
1183/0034 - DSI;1183/0034;DSI;;
1183/0035 - DSI;1183/0035;DSI;;
1183/0036 - L470;1183/0036;;470;
