# Catégories proposées — relisez, corrigez, puis :
#   python3 scripts/categoriser_fournisseurs.py --appliquer
# (ce CSV est un rapport de relecture, le script relit la base)
#
# id;nom;categories;source
# 11;Itasa;;
# 117;JEMMCO;;
# 118;JFE Virton SRL;;
# 123;KAIPING;;
# 129;LAFORET DELAYE INDUSTRIE;;
# 130;LAOUREUX Etablissements;;
# 13;Lefrancq;;
# 14;Likexin;;
# 137;M.G. Kurth GmbH;;
# 133;MAJICAP;;
# 141;MOSAICO;;
# 142;MULLIEZ RICHEBE;;
# 143;NCI;;
# 145;NORD TECHNIQUES ETIQUETAGE;;
# 144;NOYER SAFIA;;
# 149;PANNIER;;
# 158;REGMA TRANSFERT THERMIQUE;;
# 159;REPPLUS;;
# 16;Rheno;;
# 162;RONT PRODUCTION;;
# 163;ROSSELLA S.R.L.;;
# 168;RUBANORD;;
# 18;Sato;;
# 172;SEPT;;
# 132;SHENZHEN LIKEXIN INDUSTRIAL Co.;;
# 19;Shine;;
# 176;SICAD FRANCE;;
# 177;SIEGWERK France SAS;;
# 178;SIFA - Production;;
# 180;SOCFAM;;
# 181;SODINOR;;
# 183;SOONTOMAX;;
# 184;SOPRINTEX;;
# 20;Suzhou;;
# 188;SYCDA Company Ltd;;
# 21;Techmay;;
# 189;TECNOCUT S.L;;
# 191;TODAYTEC UK;;
# 196;TRINITY BRAND IND.;;
# 197;Tristar Engineered Plastic Solutions;;
# 23;UPM;;
# 24;Xinzhu;;
