transporteur,type_envoi,base_calcul,zone_type,zone_valeur,dept_label,tranche_min,tranche_max,prix,unite,mini_perception,source_filename
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,250,500.0,45.36,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,17,CHARENTE MARITIME,500,1000.0,43.62,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,0,10.0,14.45,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,10,20.0,16.48,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,20,30.0,20.91,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,30,40.0,23.12,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,40,50.0,25.69,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,50,60.0,27.88,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,60,70.0,30.53,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,70,80.0,32.91,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,80,90.0,34.08,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,90,100.0,36.41,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,100,250.0,31.29,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,250,500.0,25.9,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,18,CHER,500,1000.0,24.15,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,0,10.0,18.91,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,10,20.0,22.41,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,20,30.0,25.95,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,30,40.0,29.44,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,40,50.0,32.54,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,50,60.0,35.26,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,60,70.0,37.61,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,70,80.0,39.96,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,80,90.0,42.6,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,90,100.0,46.45,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,100,250.0,44.37,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,250,500.0,37.71,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,19,CORREZE,500,1000.0,36.03,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,0,10.0,17.33,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,10,20.0,18.97,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,20,30.0,20.71,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,30,40.0,22.63,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,40,50.0,25.67,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,50,60.0,28.75,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,60,70.0,32.34,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,70,80.0,32.91,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,80,90.0,35.26,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,90,100.0,35.63,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,100,250.0,40.31,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,250,500.0,26.89,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,21,COTE D'OR,500,1000.0,25.21,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,0,10.0,19.04,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,10,20.0,21.44,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,20,30.0,24.94,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,30,40.0,27.38,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,40,50.0,30.37,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,50,60.0,32.84,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,60,70.0,35.71,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,70,80.0,40.09,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,80,90.0,42.57,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,90,100.0,46.92,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,100,250.0,43.25,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,250,500.0,35.62,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,22,COTES D ARMOR,500,1000.0,34.08,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,0,10.0,20.77,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,10,20.0,23.33,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,20,30.0,25.95,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,30,40.0,29.44,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,40,50.0,32.54,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,50,60.0,36.05,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,60,70.0,39.99,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,70,80.0,44.36,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,80,90.0,48.73,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,90,100.0,47.9,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,100,250.0,44.27,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,250,500.0,37.37,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,23,CREUSE,500,1000.0,35.78,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,0,10.0,26.06,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,10,20.0,29.57,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,20,30.0,33.4,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,30,40.0,36.9,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,40,50.0,41.75,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,50,60.0,45.27,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,60,70.0,50.11,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,70,80.0,55.53,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,80,90.0,59.05,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,90,100.0,64.89,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,100,250.0,61.59,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,250,500.0,55.32,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,24,DORDOGNE,500,1000.0,53.09,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,0,10.0,17.09,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,10,20.0,19.51,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,20,30.0,21.94,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,30,40.0,24.61,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,40,50.0,28.96,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,50,60.0,31.4,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,60,70.0,35.46,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,70,80.0,37.9,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,80,90.0,41.55,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,90,100.0,43.96,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,100,250.0,40.75,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,250,500.0,34.27,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,25,DOUBS,500,1000.0,30.12,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,0,10.0,17.59,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,10,20.0,20.48,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,20,30.0,23.39,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,30,40.0,26.56,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,40,50.0,31.38,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,50,60.0,34.75,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,60,70.0,39.28,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,70,80.0,43.6,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,80,90.0,47.78,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,90,100.0,52.34,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,100,250.0,52.34,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,250,500.0,36.68,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,26,DROME,500,1000.0,32.53,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,0,10.0,13.94,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,10,20.0,15.49,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,20,30.0,17.86,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,30,40.0,18.74,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,40,50.0,21.38,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,50,60.0,22.29,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,60,70.0,24.53,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,70,80.0,25.43,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,80,90.0,27.0,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,90,100.0,27.9,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,100,250.0,27.36,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,250,500.0,20.85,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,27,EURE,500,1000.0,19.1,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,0,10.0,16.8,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,10,20.0,17.92,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,20,30.0,19.13,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,30,40.0,20.17,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,40,50.0,21.94,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,50,60.0,22.96,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,60,70.0,24.79,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,70,80.0,27.1,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,80,90.0,28.15,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,90,100.0,30.39,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,100,250.0,28.32,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,250,500.0,21.65,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,28,EURE ET LOIRE,500,1000.0,19.97,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,0,10.0,19.34,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,10,20.0,22.03,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,20,30.0,25.17,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,30,40.0,27.94,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,40,50.0,31.51,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,50,60.0,35.79,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,60,70.0,40.49,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,70,80.0,45.0,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,80,90.0,49.37,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,90,100.0,54.1,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,100,250.0,54.1,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,250,500.0,38.58,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,29,FINISTERE,500,1000.0,37.04,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,0,10.0,22.47,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,10,20.0,27.94,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,20,30.0,33.42,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,30,40.0,38.9,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,40,50.0,44.34,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,50,60.0,49.84,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,60,70.0,49.84,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,70,80.0,55.29,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,80,90.0,55.3,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,90,100.0,60.76,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,100,250.0,60.76,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,250,500.0,48.62,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,30,GARD,500,1000.0,26.67,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),0,10.0,16.26,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),10,20.0,21.4,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),20,30.0,25.53,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),30,40.0,30.12,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),40,50.0,34.94,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),50,60.0,39.48,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),60,70.0,43.94,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),70,80.0,48.57,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),80,90.0,52.63,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),90,100.0,56.8,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),100,250.0,56.82,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),250,500.0,57.6,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,31,GARONNE (HAUTE),500,1000.0,57.6,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,0,10.0,19.26,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,10,20.0,23.98,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,20,30.0,29.23,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,30,40.0,34.3,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,40,50.0,39.34,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,50,60.0,43.83,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,60,70.0,49.66,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,70,80.0,54.14,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,80,90.0,59.31,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,90,100.0,63.98,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,100,250.0,62.15,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,250,500.0,56.75,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,32,GERS,500,1000.0,55.0,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,0,10.0,23.15,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,10,20.0,25.77,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,20,30.0,28.68,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,30,40.0,31.3,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,40,50.0,35.05,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,50,60.0,37.67,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,60,70.0,41.5,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,70,80.0,45.83,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,80,90.0,48.45,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,90,100.0,53.18,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,100,250.0,50.17,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,250,500.0,46.6,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,33,GIRONDE,500,1000.0,42.86,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,0,10.0,20.66,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,10,20.0,25.68,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,20,30.0,30.72,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,30,40.0,35.72,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,40,50.0,40.76,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,50,60.0,45.8,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,60,70.0,47.18,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,70,80.0,51.86,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,80,90.0,57.17,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,90,100.0,62.32,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,100,250.0,62.32,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,250,500.0,44.68,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,34,HERAULT,500,1000.0,35.88,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,0,10.0,18.67,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,10,20.0,20.69,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,20,30.0,23.15,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,30,40.0,25.24,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,40,50.0,27.75,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,50,60.0,29.85,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,60,70.0,33.22,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,70,80.0,36.63,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,80,90.0,40.01,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,90,100.0,43.72,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,100,250.0,43.72,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,250,500.0,31.83,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,35,ILLE ET VILAINE,500,1000.0,30.3,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,36,INDRE,0,10.0,17.63,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,36,INDRE,10,20.0,19.59,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,36,INDRE,20,30.0,21.62,forfait,,SIFA 010126 - P U-1.xlsx
